query_id,num_docs,fidelity_tau,weighted_fidelity
9652,6,-0.3333333333333333,-0.33061224489795943
9653,8,0.14285714285714285,-0.11081909767849307
9654,8,-0.14285714285714285,0.14517239221575623
9655,9,0.3333333333333333,0.5054706129891992
9656,9,0.0,-0.08004278299901803
9657,9,0.4444444444444444,0.23963739654930566
9658,6,0.2,0.2000000000000001
9659,9,-0.05555555555555555,0.24572170009819058
9660,5,0.7999999999999999,0.6715328467153284
9661,9,0.5,0.5520409594613551
9662,8,0.07142857142857142,0.3492897816156686
9663,9,0.0,-0.08602188245195694
9664,9,0.4444444444444444,0.567505961565437
9665,8,0.0,-0.08028283586759263
9666,10,0.37777777777777777,0.2991916181185929
9667,9,-0.16666666666666666,-0.19022653948660395
9668,10,0.15555555555555553,0.05312438844480599
9669,8,0.42857142857142855,0.631562480445529
9670,7,-0.33333333333333337,-0.33027242118151223
9671,5,0.9999999999999999,1.0
9672,9,0.0,-0.15682423902370596
9673,10,0.5111111111111111,0.6312152824820485
9674,7,0.33333333333333337,0.47291092745638197
9675,8,0.42857142857142855,0.5269382391590013
9676,7,0.04761904761904762,-0.15488215488215493
9677,10,0.5111111111111111,0.7275286396001747
9678,9,0.5555555555555556,0.7588020760274934
9679,8,0.21428571428571427,0.5264376447030849
9680,8,0.7857142857142856,0.8928727864338901
9681,7,0.14285714285714288,-0.07988980716253462
9682,9,0.5555555555555556,0.6674147846822838
9683,9,0.16666666666666666,0.03633048113339875
9684,10,-0.022222222222222223,0.2047298619578799
9685,6,-0.4666666666666666,-0.6095238095238096
9686,9,0.16666666666666666,0.09573572731098345
9687,9,0.16666666666666666,-0.05495160611586471
9688,9,0.3888888888888889,0.3108605695048394
9689,9,0.2777777777777778,0.22113900967877692
9690,5,0.9999999999999999,1.0
9691,10,0.4222222222222222,0.5574222101792892
9692,8,0.2857142857142857,0.5746198610850385
9693,7,0.6190476190476191,0.7471686562595652
9694,9,0.1111111111111111,0.32209987375508486
9695,6,0.2,0.3904761904761904
9696,10,-0.28888888888888886,-0.30056150175375235
9697,6,-0.06666666666666665,-0.20408163265306115
9698,8,0.21428571428571427,0.5126712971653838
9699,10,-0.022222222222222223,-0.17397522166523666
9700,9,0.2777777777777778,0.4406298218543976
9701,6,0.06666666666666665,-0.006802721088435278
9702,9,-0.2777777777777778,-0.34608640763080367
9703,5,-0.39999999999999997,-0.4270072992700731
9704,9,-0.16666666666666666,-0.07872773179969147
9705,10,-0.06666666666666667,-0.06634150747414538
9706,9,0.3888888888888889,0.15152896619441722
9707,8,0.6428571428571428,0.8324260058819848
9708,9,-0.05555555555555555,-0.11467246458128784
9709,9,-0.05555555555555555,0.20805863374947398
9710,5,0.0,0.2846715328467153
9711,9,0.1111111111111111,0.21221419553934628
9712,8,0.7142857142857142,0.8517614667417557
9713,7,0.04761904761904762,-0.06443220079583717
9714,7,0.5238095238095238,0.30364248546066724
9715,8,-0.3571428571428571,-0.3897127839309179
9716,9,-0.3888888888888889,-0.5282648337775286
9717,10,0.15555555555555553,0.2487317286125036
9718,10,0.15555555555555553,0.1868762137018471
9719,9,0.1111111111111111,0.3969350540047693
9720,10,0.24444444444444444,0.16188712760992952
9721,9,0.3888888888888889,0.5366460934212371
9722,8,0.5714285714285714,0.7604655528440021
9723,8,0.3571428571428571,0.6145422689443714
9724,9,0.3333333333333333,0.10324028615514116
9725,8,0.42857142857142855,0.631562480445529
9726,8,0.42857142857142855,0.5611038107752955
9727,8,0.5714285714285714,0.6125398911207056
9728,9,-0.16666666666666666,-0.2874877261888063
9729,10,0.19999999999999998,0.23808878652395787
9730,8,0.9999999999999998,0.9999999999999998
9731,9,0.16666666666666666,0.48604292327114607
9732,9,-0.05555555555555555,0.19392621686070988
